year,level,course,sex,enrolment_secondary
1992,Secondary 2,Special,F,1119
1992,Secondary 3,Express,MF,20995
1992,Secondary 3,Express,F,10653
1992,Secondary 3,Normal (Acad),MF,12222
1992,Secondary 3,Normal (Acad),F,5670
1992,Secondary 3,Normal (Tech),MF,0
1992,Secondary 3,Normal (Tech),F,0
1992,Secondary 3,Special,MF,2550
1992,Secondary 3,Special,F,1201
1992,Secondary 4,Express,MF,22807
1992,Secondary 4,Express,F,11433
1992,Secondary 4,Normal (Acad),MF,12761
1992,Secondary 4,Normal (Acad),F,5942
1992,Secondary 4,Normal (Tech),MF,0
1992,Secondary 4,Normal (Tech),F,0
1992,Secondary 4,Special,MF,2316
1992,Secondary 4,Special,F,1136
1992,Secondary 5,Normal (Acad),MF,10491
1992,Secondary 5,Normal (Acad),F,5061
1993,Secondary 1,Express,MF,20729
1993,Secondary 1,Express,F,10685
1993,Secondary 1,Normal (Acad),MF,13212
1993,Secondary 1,Normal (Acad),F,6124
1993,Secondary 1,Normal (Tech),MF,0
1993,Secondary 1,Normal (Tech),F,0
1993,Secondary 1,Special,MF,2739
1993,Secondary 1,Special,F,1320
1993,Secondary 2,Express,MF,20716
1993,Secondary 2,Express,F,10460
1993,Secondary 2,Normal (Acad),MF,13038
1993,Secondary 2,Normal (Acad),F,5822
1993,Secondary 2,Normal (Tech),MF,0
1993,Secondary 2,Normal (Tech),F,0
1993,Secondary 2,Special,MF,2682
1993,Secondary 2,Special,F,1280
1993,Secondary 3,Express,MF,21020
1993,Secondary 3,Express,F,10769
1993,Secondary 3,Normal (Acad),MF,12193
1993,Secondary 3,Normal (Acad),F,5440
1993,Secondary 3,Normal (Tech),MF,0
1993,Secondary 3,Normal (Tech),F,0
1993,Secondary 3,Special,MF,2515
1993,Secondary 3,Special,F,1153
1993,Secondary 4,Express,MF,20877
1993,Secondary 4,Express,F,10636
1993,Secondary 4,Normal (Acad),MF,11847
1993,Secondary 4,Normal (Acad),F,5621
1993,Secondary 4,Normal (Tech),MF,0
1993,Secondary 4,Normal (Tech),F,0
1993,Secondary 4,Special,MF,2582
1993,Secondary 4,Special,F,1210
1993,Secondary 5,Normal (Acad),MF,11146
1993,Secondary 5,Normal (Acad),F,5257
1994,Secondary 1,Express,MF,25265
1994,Secondary 1,Express,F,12828
1994,Secondary 1,Normal (Acad),MF,17063
1994,Secondary 1,Normal (Acad),F,7713
1994,Secondary 1,Normal (Tech),MF,8588
1994,Secondary 1,Normal (Tech),F,3113
1994,Secondary 1,Special,MF,3671
1994,Secondary 1,Special,F,1891
1994,Secondary 2,Express,MF,21433
1994,Secondary 2,Express,F,11113
1994,Secondary 2,Normal (Acad),MF,12470
1994,Secondary 2,Normal (Acad),F,5639
1994,Secondary 2,Normal (Tech),MF,0
1994,Secondary 2,Normal (Tech),F,0
1994,Secondary 2,Special,MF,2873
1994,Secondary 2,Special,F,1428
1994,Secondary 3,Express,MF,21116
1994,Secondary 3,Express,F,10646
1994,Secondary 3,Normal (Acad),MF,13049
1994,Secondary 3,Normal (Acad),F,5740
1994,Secondary 3,Normal (Tech),MF,0
1994,Secondary 3,Normal (Tech),F,0
1994,Secondary 3,Special,MF,2805
1994,Secondary 3,Special,F,1341
1994,Secondary 4,Express,MF,20935
1994,Secondary 4,Express,F,10788
1994,Secondary 4,Normal (Acad),MF,12018
1994,Secondary 4,Normal (Acad),F,5476
1994,Secondary 4,Normal (Tech),MF,0
1994,Secondary 4,Normal (Tech),F,0
1994,Secondary 4,Special,MF,2480
1994,Secondary 4,Special,F,1147
1994,Secondary 5,Normal (Acad),MF,10168
1994,Secondary 5,Normal (Acad),F,4915
1995,Secondary 1,Express,MF,22128
1995,Secondary 1,Express,F,11014
1995,Secondary 1,Normal (Acad),MF,9985
1995,Secondary 1,Normal (Acad),F,4502
1995,Secondary 1,Normal (Tech),MF,7260
1995,Secondary 1,Normal (Tech),F,2757
1995,Secondary 1,Special,MF,4127
1995,Secondary 1,Special,F,2230
1995,Secondary 2,Express,MF,25326
1995,Secondary 2,Express,F,13015
1995,Secondary 2,Normal (Acad),MF,17173
1995,Secondary 2,Normal (Acad),F,7684
1995,Secondary 2,Normal (Tech),MF,7942
1995,Secondary 2,Normal (Tech),F,2819
1995,Secondary 2,Special,MF,3527
1995,Secondary 2,Special,F,1820
1995,Secondary 3,Express,MF,21835
1995,Secondary 3,Express,F,11360
1995,Secondary 3,Normal (Acad),MF,12594
1995,Secondary 3,Normal (Acad),F,5572
1995,Secondary 3,Normal (Tech),MF,0
1995,Secondary 3,Normal (Tech),F,0
1995,Secondary 3,Special,MF,2937
1995,Secondary 3,Special,F,1446
1995,Secondary 4,Express,MF,20670
1995,Secondary 4,Express,F,10524
1995,Secondary 4,Normal (Acad),MF,12815
1995,Secondary 4,Normal (Acad),F,5709
1995,Secondary 4,Normal (Tech),MF,0
1995,Secondary 4,Normal (Tech),F,0
1995,Secondary 4,Special,MF,2753
1995,Secondary 4,Special,F,1331
1995,Secondary 5,Normal (Acad),MF,9910
1995,Secondary 5,Normal (Acad),F,4669
1996,Secondary 1,Express,MF,21273
1996,Secondary 1,Express,F,10625
1996,Secondary 1,Normal (Acad),MF,8917
1996,Secondary 1,Normal (Acad),F,4089
1996,Secondary 1,Normal (Tech),MF,6630
1996,Secondary 1,Normal (Tech),F,2650
