year,level,course,sex,enrolment_preu
2001,Pre-University 1,Science,F,54
2001,Pre-University 2,Arts,MF,115
2001,Pre-University 2,Arts,F,74
2001,Pre-University 2,Commerce,MF,132
2001,Pre-University 2,Commerce,F,101
2001,Pre-University 2,Science,MF,75
2001,Pre-University 2,Science,F,46
2001,Pre-University 3,Arts,MF,108
2001,Pre-University 3,Arts,F,72
2001,Pre-University 3,Commerce,MF,182
2001,Pre-University 3,Commerce,F,115
2001,Pre-University 3,Science,MF,81
2001,Pre-University 3,Science,F,29
2002,Junior College 1,Arts,MF,2512
2002,Junior College 1,Arts,F,1740
2002,Junior College 1,Commerce,MF,-
2002,Junior College 1,Commerce,F,-
2002,Junior College 1,Science,MF,10531
2002,Junior College 1,Science,F,5264
2002,Junior College 2,Arts,MF,2215
2002,Junior College 2,Arts,F,1570
2002,Junior College 2,Commerce,MF,-
2002,Junior College 2,Commerce,F,-
2002,Junior College 2,Science,MF,9198
2002,Junior College 2,Science,F,4557
2002,Pre-University 1,Arts,MF,136
2002,Pre-University 1,Arts,F,96
2002,Pre-University 1,Commerce,MF,126
2002,Pre-University 1,Commerce,F,87
2002,Pre-University 1,Science,MF,99
2002,Pre-University 1,Science,F,52
2002,Pre-University 2,Arts,MF,104
2002,Pre-University 2,Arts,F,73
2002,Pre-University 2,Commerce,MF,92
2002,Pre-University 2,Commerce,F,64
2002,Pre-University 2,Science,MF,83
2002,Pre-University 2,Science,F,49
2002,Pre-University 3,Arts,MF,87
2002,Pre-University 3,Arts,F,55
2002,Pre-University 3,Commerce,MF,124
2002,Pre-University 3,Commerce,F,92
2002,Pre-University 3,Science,MF,69
2002,Pre-University 3,Science,F,41
2003,Junior College 1,Arts,MF,2015
2003,Junior College 1,Arts,F,1337
2003,Junior College 1,Commerce,MF,-
2003,Junior College 1,Commerce,F,-
2003,Junior College 1,Science,MF,9524
2003,Junior College 1,Science,F,4784
2003,Junior College 2,Arts,MF,2314
2003,Junior College 2,Arts,F,1627
2003,Junior College 2,Commerce,MF,-
2003,Junior College 2,Commerce,F,-
2003,Junior College 2,Science,MF,9855
2003,Junior College 2,Science,F,4930
2003,Pre-University 1,Arts,MF,124
2003,Pre-University 1,Arts,F,71
2003,Pre-University 1,Commerce,MF,90
2003,Pre-University 1,Commerce,F,59
2003,Pre-University 1,Science,MF,125
2003,Pre-University 1,Science,F,72
2003,Pre-University 2,Arts,MF,122
2003,Pre-University 2,Arts,F,83
2003,Pre-University 2,Commerce,MF,92
2003,Pre-University 2,Commerce,F,58
